project_name,project_location,project_founder,fund_goal,fund_currency,fund_progress,fund_date_end,fund_supporter,category,goal_tipping point,goal_stretch point,percentagefunded,percstretch,Word_count,Analytic,Clout,Authentic,Tone,Words_per_sentence,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
 Bianca Nikol Roberson Mural: STOP GUN VIOLENCE!,"Philadelphia, United States",Bianca Nikol Roberson Memorial Foundation Inc a registered 501 (c)3,"25,000",USD,"4,142","'Fundraising ended on Mar 27, 2019",56,Civic;Community;Social Enterprise;,"25,000","30,000",0.16568,0.13807,292,96.05,93.82,3.28,1.00,19.47,23.29,43.15,8.90,6.51,0.00,3.42,0.34,1.71,1.03,2.40,8.56,16.10,7.19,2.05,2.05,0.34,13.36,2.74,1.37,1.71,3.42,1.03,7.53,2.05,5.48,0.00,3.08,0.34,12.33,0.34,0.00,1.03,1.71,7.19,1.03,2.05,2.05,1.37,0.68,0.34,0.68,0.00,0.68,0.00,2.05,0.00,2.05,0.00,0.00,11.64,5.48,1.03,3.42,0.68,1.71,2.74,9.93,0.34,12.33,1.37,7.88,3.08,4.11,2.05,0.00,1.03,0.34,1.37,0.00,0.00,0.00,0.00,0.00,0.00,12.33,4.45,3.08,1.03,0.00,0.00,1.03,0.00,0.68,1.37,0.00,0.68
 Help People with a Disability in Maleny,"Maleny, Sunshine Coast, Queensland, Australia",Kristine FitzGerald,"20,000",AUD,"2,811","'Fundraising ended on Apr 08, 2018",26,Arts & Culture;Community;Social Enterprise;,"20,000","35,000",0.14055,0.08031,396,89.71,89.65,4.18,96.96,19.80,28.54,43.43,6.06,4.04,0.00,1.52,0.25,1.77,0.51,2.02,6.82,14.14,7.83,2.27,7.32,0.25,14.14,3.79,0.00,1.52,0.25,1.52,6.06,5.56,0.51,0.51,0.00,0.00,11.62,1.77,0.25,0.51,1.52,7.07,1.26,2.02,1.01,0.76,1.52,0.51,2.78,1.01,1.52,0.00,1.26,0.00,0.25,0.00,0.76,14.39,6.31,4.04,3.79,2.27,0.25,1.77,9.09,2.27,11.62,2.53,6.06,3.28,6.31,5.56,0.76,1.77,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.00,11.11,4.55,5.05,0.51,0.00,0.25,0.00,0.76,0.00,0.00,0.00,0.00
 You Can Help Us Launch The Priceless Campaign,Lancaster,The Priceless Campaign,"2,200",USD,"1,345","'Fundraising ended on Dec 23, 2012",13,Children & Youth;,"2,200","6,500",0.61136,0.20692,280,83.00,97.27,22.31,11.79,14.74,25.00,40.00,7.86,5.36,0.71,1.79,2.14,0.00,0.71,2.50,8.21,8.93,7.86,2.50,5.36,0.71,11.79,5.36,2.86,1.79,2.14,2.14,8.93,3.93,5.00,0.00,1.79,1.79,18.57,0.00,0.00,3.93,0.00,9.29,3.21,3.57,0.36,0.71,0.71,1.79,2.14,0.36,1.07,0.36,3.21,0.36,1.07,1.79,0.00,13.93,4.64,2.50,9.29,0.71,0.71,0.36,11.07,1.43,11.07,2.14,5.71,2.86,0.36,0.00,0.71,3.57,0.36,0.71,0.36,0.00,0.00,0.00,0.36,0.00,14.64,2.86,4.64,0.00,0.00,0.71,3.21,1.07,0.71,0.00,0.00,1.43
"""It is not the mountain we conquer but ourselves"" ","Lindome , Sweden",Josefine Steenari,"30,000",SEK,"2,400","'Fundraising ended on May 30, 2018",6,Civic;Community;Human Rights;,"30,000","60,000",0.08000,0.04000,981,60.66,48.78,35.41,83.67,20.44,16.11,50.87,13.97,8.97,6.32,1.12,0.41,0.51,0.61,4.99,6.01,12.74,9.99,3.98,6.42,1.12,15.70,4.08,2.55,1.22,2.85,2.14,3.98,3.57,0.31,0.10,0.10,0.00,7.65,0.10,0.10,0.31,0.41,8.77,0.71,1.94,1.33,2.65,1.43,2.04,1.12,0.71,0.10,0.20,1.94,0.71,0.92,0.10,0.20,8.66,3.57,2.04,3.06,1.12,0.20,2.45,11.11,1.33,11.52,2.14,6.52,3.06,2.75,2.65,0.10,1.43,0.00,0.00,0.71,0.00,0.71,0.00,0.00,0.00,17.84,6.01,3.06,1.53,0.00,0.00,0.92,0.71,1.02,0.71,0.82,3.06
#APATCE - Empowering Tourism for All,"Canberra, Australia",getaboutable.com,"20,000",AUD,"20,090","'Nov 15, 2019",74,Arts & Culture;Human Rights;Social Enterprise;,"20,000","50,000",1.00450,0.40180,649,92.21,83.42,18.24,74.54,24.04,28.35,43.61,8.01,5.08,0.00,1.69,2.00,0.00,1.39,2.77,6.93,16.33,5.70,2.93,6.47,0.77,14.48,3.39,2.47,0.46,1.69,1.69,3.85,3.24,0.62,0.15,0.15,0.00,9.86,0.31,0.77,0.15,0.00,12.02,3.24,0.92,3.39,3.39,0.62,3.08,1.85,1.08,0.46,0.31,0.77,0.62,0.00,0.00,0.15,9.71,3.08,2.00,1.54,3.70,0.31,0.46,10.63,2.16,12.63,4.01,6.47,2.62,5.08,3.39,0.62,1.39,0.00,0.00,0.46,0.00,0.15,0.15,0.15,0.00,22.34,4.78,4.01,1.08,0.00,0.00,0.15,2.00,0.31,2.00,1.85,6.16
#BlackandHooded Scholarship Fund 2018-19,"New York City, United States",#BLACKANDHOODED,"3,000",USD,"1,390","'Fundraising ended on Jul 31, 2018",31,Civic;Community;Education;,"3,000","4,000",0.46333,0.34750,114,79.88,97.28,1.00,97.58,22.80,38.60,36.84,13.16,6.14,0.00,5.26,0.88,0.00,0.00,7.02,4.39,9.65,4.39,0.00,5.26,0.00,10.53,3.51,1.75,0.00,3.51,3.51,7.02,6.14,0.88,0.00,0.00,0.00,13.16,0.88,1.75,0.00,0.00,5.26,0.88,1.75,0.88,1.75,0.88,0.00,1.75,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.68,12.28,7.02,6.14,5.26,0.00,0.00,8.77,2.63,6.14,1.75,0.88,3.51,19.30,0.88,0.88,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,3.51,2.63,0.00,0.00,0.00,0.88,0.88,0.00,0.88,0.00,1.75
#SwipeItForward ,"New York City, United States",SwipeItForward NYC,"1,000",USD,"2,410","'Mar 10, 2017",64,Community;Human Rights;Politics;,"1,000","2,000",2.41000,1.20500,152,92.17,85.38,9.58,16.38,38.00,30.92,42.11,6.58,3.95,0.00,3.95,0.00,0.00,0.00,2.63,7.89,13.82,4.61,3.95,7.24,0.00,7.89,3.95,1.32,1.32,0.00,0.66,7.89,3.29,3.95,0.00,3.29,0.00,8.55,0.00,0.00,0.00,0.00,7.24,1.32,1.32,0.66,0.66,1.32,1.97,2.63,1.32,0.66,0.66,1.32,0.66,0.66,0.00,0.00,14.47,7.24,2.63,3.29,0.66,0.66,0.66,5.26,0.00,10.53,1.32,5.92,3.29,5.92,0.66,0.66,3.95,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,17.76,1.97,6.58,0.66,0.00,0.00,0.00,0.00,0.00,1.97,3.95,2.63
1 in Too Campaign,"Washington, D.C.",Advocates for Youth Efficacy,500,USD,90,"'Fundraising ended on Mar 24, 2012",5,Community;,500,"2,000",0.18000,0.04500,302,74.55,73.54,18.24,6.98,23.23,20.20,53.31,10.93,3.97,0.33,0.66,0.66,0.00,2.32,6.95,5.96,15.89,10.60,4.97,5.63,0.99,17.22,3.31,1.99,1.32,3.97,2.98,8.28,3.31,4.97,0.00,2.65,0.66,9.60,0.00,0.00,0.33,0.33,11.92,2.65,0.33,1.66,3.31,1.99,3.31,2.32,1.32,0.33,0.33,1.99,1.32,0.33,0.33,0.00,8.94,1.66,0.66,5.63,0.99,0.33,1.66,12.58,1.99,10.93,0.33,7.95,2.65,1.66,0.66,0.33,2.32,0.00,0.00,0.99,0.00,0.33,0.33,0.33,0.00,14.24,5.63,3.97,0.33,0.33,0.00,0.00,0.00,2.32,0.33,0.66,0.66
10 For 10 - Help charities drive impact!,"London, United Kingdom",Progress 81,"10,000",GBP,931,"'Fundraising ended on Jan 21, 2020",7,Children & Youth;Community;Social Enterprise;,"10,000","20,000",0.09310,0.04655,457,95.95,68.48,39.95,99.00,30.47,30.85,43.33,5.03,3.06,0.00,0.66,0.00,0.00,2.41,1.97,8.10,16.63,5.69,2.63,6.78,0.66,12.47,4.60,1.97,0.66,3.72,1.75,8.53,8.32,0.22,0.00,0.00,0.22,7.88,0.00,0.00,0.00,0.00,8.75,2.19,1.75,1.09,1.31,0.66,3.06,1.31,1.09,0.00,0.22,0.88,0.00,0.66,0.22,0.00,10.07,1.53,3.72,3.28,1.75,0.44,2.84,9.19,0.66,15.32,3.72,8.32,3.72,7.00,0.00,0.00,6.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.32,3.28,3.06,0.00,0.00,0.00,0.00,0.22,0.00,0.88,0.00,0.88
100 Miles to End Homelessness,"Northampton, MA",Northampton Exercise Club for the Homeless,"1,500",USD,"1,858","'Sep 08, 2013",28,Community;Health;,"1,500","2,500",1.23867,0.74320,145,98.01,81.50,92.53,64.98,20.71,17.93,42.76,3.45,3.45,0.00,0.69,0.00,0.00,2.76,0.00,9.66,16.55,6.90,2.07,5.52,0.00,10.34,1.38,0.69,0.69,2.07,0.00,2.07,2.07,0.00,0.00,0.00,0.00,8.28,0.00,0.69,0.00,1.38,2.07,0.69,0.00,0.00,0.00,1.38,0.00,1.38,0.69,0.69,0.00,3.45,0.00,2.07,0.00,1.38,6.90,4.14,0.00,1.38,0.69,0.69,0.00,4.83,5.52,28.97,6.21,13.79,9.66,0.00,6.21,0.00,0.69,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.48,4.83,5.52,0.00,0.00,0.00,0.00,2.76,0.00,0.69,0.00,0.69
