project_id,topic_id
1,4
1,5
1,16
2,2
2,5
2,16
3,3
4,4
4,5
4,12
5,2
5,12
5,16
6,4
6,5
6,8
7,5
7,12
7,15
8,5
9,3
9,5
9,16
10,5
10,11
11,12
12,9
13,2
14,3
14,5
14,8
15,5
15,7
15,11
16,2
16,5
17,3
18,5
18,7
19,7
19,8
20,5
20,9
20,16
21,3
21,8
22,2
22,3
22,8
23,5
23,6
23,7
24,9
25,9
26,2
26,3
26,8
27,5
28,1
28,9
28,13
29,2
29,8
30,1
30,9
30,11
31,9
31,10
31,11
32,7
33,11
34,3
35,3
36,3
36,8
37,5
37,9
37,12
38,3
38,5
38,8
39,11
40,5
41,5
42,3
42,11
42,16
43,2
44,11
45,8
46,11
47,3
47,16
48,8
48,9
48,10
49,11
50,2
50,3
51,5
51,10
51,16
52,2
52,5
52,13
53,11
54,3
54,11
55,15
56,3
56,8
57,5
57,11
58,11
59,9
60,7
61,5
61,12
61,16
62,3
62,8
63,9
64,5
65,12
66,3
66,5
66,16
67,3
67,5
68,5
68,7
69,3
69,5
69,11
70,11
71,5
71,8
71,12
72,5
72,12
72,13
73,5
73,11
73,16
74,7
74,9
74,16
75,9
76,5
77,3
77,8
77,16
78,5
78,8
78,9
79,9
80,4
80,5
80,8
81,9
81,11
81,12
82,5
82,9
82,16
83,2
83,5
83,8
84,2
84,3
85,5
85,8
85,13
86,11
87,12
88,5
88,9
88,13
89,2
90,3
91,2
91,5
91,8
92,5
93,11
94,5
95,3
95,5
95,13
96,3
96,5
97,8
98,5
99,5
100,3
100,5
100,16
101,11
102,3
102,5
102,11
103,8
104,5
105,5
105,9
106,2
106,5
107,5
107,8
107,12
108,7
109,3
109,8
110,14
111,5
111,11
112,12
113,8
114,7
115,5
116,5
116,14
116,16
117,3
117,5
117,16
118,7
118,8
119,2
120,3
120,5
120,16
121,2
121,16
122,3
122,11
123,5
124,3
124,5
124,8
125,10
125,11
125,16
126,3
126,8
127,2
127,3
127,8
128,5
129,8
130,5
131,1
131,9
131,16
132,10
133,3
133,7
134,7
134,13
135,8
136,8
137,3
138,8
139,12
139,13
140,5
140,7
140,16
141,7
141,9
141,10
142,3
142,8
142,11
143,5
144,2
145,11
146,11
147,7
148,2
149,11
149,16
150,3
151,8
152,3
152,8
153,11
154,5
155,5
156,3
156,7
156,16
157,3
158,3
159,3
160,3
161,5
161,8
161,11
162,5
162,8
162,9
163,3
163,5
163,9
164,12
165,5
165,8
165,12
166,3
166,8
166,12
167,7
168,5
169,5
170,3
171,5
172,2
172,8
173,3
174,5
174,12
174,14
175,12
176,8
177,3
177,8
178,3
178,5
179,5
180,2
181,8
182,7
183,3
184,14
185,8
186,3
186,5
186,8
187,9
187,16
188,7
189,5
189,6
190,3
191,3
191,5
191,9
192,3
192,14
193,3
193,5
194,2
194,5
194,9
195,5
196,16
197,11
198,8
199,5
199,7
200,7
200,11
200,16
201,5
201,9
201,16
202,5
202,9
202,10
203,7
203,8
203,16
204,3
205,3
205,8
205,10
206,2
206,5
206,8
207,2
207,4
207,5
208,5
209,5
209,12
209,16
210,5
210,7
210,16
